"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CG12655",0.133584039034322,1.0216281444083,0.585781282116009,0.567100884119169,0.720000555297637,-6.49464868514641
"Tomosyn",0.055244599290475,6.07773838185629,0.58575427787795,0.567118547624202,0.720000555297637,-7.28823151746492
"Crtp",-0.0484924243533719,6.85499557122028,-0.585144340590329,0.567517586076926,0.720424839448783,-7.29237742197962
"CG4611",-0.0500293579212513,3.60568201910553,-0.585042111351089,0.567584481937762,0.720424839448783,-7.07826004088678
"RR50446",0.121335098025465,1.63412858979878,0.585026715489556,0.567594556906925,0.720424839448783,-6.66071151315794
"MFS15",-0.0370328628623844,4.41179660545771,-0.584862884937089,0.567701772612609,0.720500917273164,-7.18516077338697
"Ocrl",-0.0435691793009898,5.21470083461394,-0.58461654237234,0.567863006895028,0.720603313128661,-7.25101201455785
"Dif",0.0403066444584836,6.37208560849875,0.584595133545042,0.567877020385513,0.720603313128661,-7.29302557938095
"aPKC",-0.0396929217215946,5.7088470673531,-0.584396154503661,0.568007274065848,0.720625541795823,-7.27732301359517
"CG7239",-0.0505194198670993,3.48181343527267,-0.58432747562364,0.568052235624706,0.720625541795823,-7.05552954387089
"lncRNA:CR44711",-0.21192925872983,2.46879046399211,-0.587532343134019,0.568095869625818,0.720625541795823,-6.83372043526214
"lncRNA:CR44611",0.109874893173202,2.14266578406193,0.584235257970021,0.568112610125376,0.720625541795823,-6.78085000371933
"CG30378",-0.0492962911022282,6.72784415382807,-0.584189410615563,0.56814262745568,0.720625541795823,-7.29400989662654
"Cmtr1",-0.0362643809895739,3.79020171682193,-0.584135005712521,0.568178248702008,0.720625541795823,-7.10862461070992
"Git",0.0405908783879816,4.02604351363679,0.584028731005756,0.5682478347669,0.720653553838051,-7.13960843173216
"Fatp3",0.0403115744300244,5.81874944391957,0.583894576763058,0.568335682109729,0.720653553838051,-7.28288689160846
"CG7884",-0.587743865736064,1.69343254251533,-0.589296509102233,0.568342195772935,0.720653553838051,-6.67944270143276
"CG15059",-0.0515673072479098,3.78044557355274,-0.58308223897503,0.568867773473296,0.721259972357157,-7.10758517583944
"CG11444",0.0339742785471409,5.60113953054961,0.582803766022001,0.569050237357628,0.72139350716975,-7.27481037846086
"G2{}1263",0.40206269140942,0.879521395135085,0.587019251698748,0.569067765301492,0.72139350716975,-6.45907332671932
"Hs2st",-0.0415897623492205,3.96275419695053,-0.582642850776995,0.569155687990438,0.721395365261885,-7.13528176975403
"BS{}1396",-0.912339898296513,-2.70129232917736,-0.586907734009453,0.569163902356227,0.721395365261885,-5.69889952017106
"otp",-0.0617235568038758,2.56155386747127,-0.582378399284181,0.569329010213603,0.721544625002521,-6.87677856989552
"CG4483",0.0932826736773158,1.36293143865985,0.582125634672447,0.569494698895472,0.721694595972642,-6.59693883962626
"mRpL39",0.0403203806165371,3.30732574303318,0.582007425245905,0.569572194609775,0.721732788380558,-7.02819163271815
"ProRS-m",0.0843925220810547,1.74712785979234,0.581409544208818,0.569964238686997,0.722169520917013,-6.69706830556223
"Grasp65",0.0426329390001599,5.89859456071469,0.581182045383601,0.570113452211016,0.722298529528297,-7.28655852537829
"CG32448",0.0675226575145442,2.88070275627816,0.580966014765956,0.570255162971584,0.722418011944051,-6.95473062128292
"CG30460",-0.0429255522206093,8.21840283860089,-0.580829715063561,0.570344581780272,0.722471234837615,-7.25679826577751
"Gr94a",-0.153685483352558,-1.44019015395255,-0.580488279304727,0.570568611654769,0.72269495026751,-5.88461027308438
"CG44623",0.0684516771877493,1.2214337981937,0.580064062305924,0.570847022311014,0.722987502702555,-6.55662176506513
"GstD2",0.192415531284597,0.848003725256022,0.580647911100434,0.571006887175271,0.723129878722879,-6.45120202916895
"Mcm5",0.0741574442040194,0.94802549327904,0.579701419317201,0.571085079145979,0.723168808158265,-6.47999940563439
"mRpS17",-0.0583591197390103,3.96453165926482,-0.579525974806926,0.57120026839583,0.723254577131311,-7.13824350829455
"asRNA:CR45943",-0.0875237045302412,2.66225968592199,-0.579364735989837,0.571306141598548,0.723328536841561,-6.91071888580396
"ref(2)P",0.0381917311628109,8.5135219435827,0.578904362838884,0.571608490333572,0.723651220525307,-7.24725590467506
